round,round_number,stage,match_status,player_1,player_2,player_1_country,player_2_country,seed_1,seed_2,seed_diff,upset,score,winner,sets_won_p1,sets_won_p2,games_won_p1,games_won_p2,sets_played,tiebreaks_played,straight_sets_win,comeback_win,deciding_set,match_date,match_month,match_day_of_week
Qualification round 1,Q2,Qualifying,completed,Sho Shimabukuro,Alex Molcan,JP,SK,,,,False,4–6 6–4 3–6,Alex Molcan,1.0,2.0,13.0,16.0,3.0,0.0,False,False,False,2026-01-13,1,Tuesday
Qualification round 1,Q2,Qualifying,completed,Lloyd Harris,Federico Cina,ZA,IT,,,,False,4–6 7–6 3–6,Federico Cina,1.0,2.0,14.0,18.0,3.0,0.0,False,False,False,2026-01-13,1,Tuesday
Qualification round 1,Q2,Qualifying,completed,Nikoloz Basilashvili,Gonzalo Bueno,GE,PE,3,,,False,1–6 6–7,Gonzalo Bueno,0.0,2.0,7.0,13.0,2.0,1.0,True,False,False,2026-01-12,1,Monday
Qualification round 1,Q2,Qualifying,completed,Joao Lucas Reis Da Silva,Henrique Rocha,BR,PT,,,,False,2–6 4–6,Henrique Rocha,0.0,2.0,6.0,12.0,2.0,0.0,True,False,False,2026-01-12,1,Monday
Qualification round 1,Q2,Qualifying,completed,Zsombor Piros,Lukas Klein,HU,SK,,28,,False,4–6 4–6,Lukas Klein,0.0,2.0,8.0,12.0,2.0,0.0,True,False,False,2026-01-12,1,Monday
Qualification round 1,Q2,Qualifying,completed,Jack Pinnington Jones,Gilles Arnaud Bailly,GB,BE,,,,False,4–6 4–6,Gilles Arnaud Bailly,0.0,2.0,8.0,12.0,2.0,0.0,True,False,False,2026-01-11,1,Sunday
Qualification round 1,Q2,Qualifying,completed,Philip Sekulic,Marco Trungelliti,AU,AR,,18,,False,2–6 6–1 1–6,Marco Trungelliti,1.0,2.0,9.0,13.0,3.0,0.0,False,False,False,2026-01-12,1,Monday
Qualification round 1,Q2,Qualifying,completed,Titouan Droguet,Nicolas Jarry,FR,CL,,21,,False,6–4 6–3,Titouan Droguet,2.0,0.0,12.0,7.0,2.0,0.0,True,False,False,2026-01-11,1,Sunday
Qualification round 2,Q1,Qualifying,completed,Jurij Rodionov,Zachary Svajda,AT,US,,29,,False,1–6 4–6,Zachary Svajda,0.0,2.0,5.0,12.0,2.0,0.0,True,False,False,2026-01-14,1,Wednesday
Qualification round 2,Q1,Qualifying,completed,Marcelo Tomas Barrios Vera,Michael Zheng,CL,US,4,Q,,False,4–6 7–6 2–6,Michael Zheng,1.0,2.0,13.0,18.0,3.0,0.0,False,False,False,2026-01-14,1,Wednesday
Qualification round 2,Q1,Qualifying,completed,James McCabe,Nicolai Budkov Kjaer,AU,NO,,23,,False,6–4 3–6 6–7,Nicolai Budkov Kjaer,1.0,2.0,15.0,17.0,3.0,1.0,False,True,False,2026-01-14,1,Wednesday
Qualification round 2,Q1,Qualifying,completed,Arthur Fery,Bernard Tomic,GB,AU,Q,,,False,6–4 6–2,Arthur Fery,2.0,0.0,12.0,6.0,2.0,0.0,True,False,False,2026-01-14,1,Wednesday
Qualification round 2,Q1,Qualifying,completed,Jason Kubler,Vilius Gaubas,AU,LT,Q,17,,False,7–5 6–2,Jason Kubler,2.0,0.0,13.0,7.0,2.0,0.0,True,False,False,2026-01-14,1,Wednesday
Qualification round 2,Q1,Qualifying,completed,Mackenzie McDonald,Hugo Grenier,US,FR,6,,,False,7–6 6–1,Mackenzie McDonald,2.0,0.0,13.0,7.0,2.0,0.0,True,False,False,2026-01-14,1,Wednesday
Qualification round 2,Q1,Qualifying,completed,Vitaliy Sachko,Liam Draxl,UA,CA,,20,,False,3–6 7–5 6–7,Liam Draxl,1.0,2.0,16.0,18.0,3.0,1.0,False,False,False,2026-01-14,1,Wednesday
Qualification round 2,Q1,Qualifying,completed,Alexander Blockx,Alex Molcan,BE,SK,7,,,False,6–1 6–1,Alexander Blockx,2.0,0.0,12.0,2.0,2.0,0.0,True,False,False,2026-01-14,1,Wednesday
Qualification round 2,Q1,Qualifying,completed,Benjamin Hassan,Jaime Faria,LB,PT,,Q,,False,3–6 4–6,Jaime Faria,0.0,2.0,7.0,12.0,2.0,0.0,True,False,False,2026-01-14,1,Wednesday
Qualification round 2,Q1,Qualifying,completed,Elmer Moller,Elias Ymer,DK,SE,9,Q,,False,6–4 4–6 5–7,Elias Ymer,1.0,2.0,15.0,17.0,3.0,0.0,False,True,False,2026-01-14,1,Wednesday
Qualification round 2,Q1,Qualifying,completed,Roman Andres Burruchaga,Arthur Gea,AR,FR,2,Q,,False,2–6 3–6,Arthur Gea,0.0,2.0,5.0,12.0,2.0,0.0,True,False,False,2026-01-14,1,Wednesday
Qualification round 2,Q1,Qualifying,completed,Rei Sakamoto,Colton Smith,JP,US,Q,32,,False,6–4 6–4,Rei Sakamoto,2.0,0.0,12.0,8.0,2.0,0.0,True,False,False,2026-01-13,1,Tuesday
Qualification round 2,Q1,Qualifying,completed,Chris Rodesch,Rafael Jodar,LU,ES,,Q,,False,6–7 3–6,Rafael Jodar,0.0,2.0,9.0,13.0,2.0,1.0,True,False,False,2026-01-14,1,Wednesday
Qualification round 2,Q1,Qualifying,completed,Thiago Seyboth Wild,Francesco Maestrelli,BR,IT,,24,,False,6–7 4–6,Francesco Maestrelli,0.0,2.0,10.0,13.0,2.0,1.0,True,False,False,2026-01-14,1,Wednesday
Qualification round 2,Q1,Qualifying,completed,Jerome Kym,Dane Sweeny,CH,AU,,Q,,False,4–6 4–6,Dane Sweeny,0.0,2.0,8.0,12.0,2.0,0.0,True,False,False,2026-01-14,1,Wednesday
Qualification round 2,Q1,Qualifying,completed,Martin Damm Jr,Titouan Droguet,US,FR,Q,,,False,6–4 6–3,Martin Damm Jr,2.0,0.0,12.0,7.0,2.0,0.0,True,False,False,2026-01-13,1,Tuesday
Qualification round 2,Q1,Qualifying,completed,Nishesh Basavareddy,Sebastian Ofner,US,AT,Q,19,,False,4–6 6–4 7–6,Nishesh Basavareddy,2.0,1.0,17.0,16.0,3.0,0.0,False,True,False,2026-01-13,1,Tuesday
Qualification round 2,Q1,Qualifying,completed,Nicolas Mejia,Yibing Wu,CO,CN,,Q,,False,4–6 4–6,Yibing Wu,0.0,2.0,8.0,12.0,2.0,0.0,True,False,False,2026-01-14,1,Wednesday
Qualification round 2,Q1,Qualifying,completed,Dino Prizmic,Gustavo Heide,HR,BR,14,,,False,7–5 6–2,Dino Prizmic,2.0,0.0,13.0,7.0,2.0,0.0,True,False,False,2026-01-14,1,Wednesday
Qualification round 2,Q1,Qualifying,completed,Tristan Boyer,Francesco Passaro,US,IT,,27,,False,6–7 6–4 6–2,Tristan Boyer,2.0,1.0,18.0,13.0,3.0,1.0,False,True,False,2026-01-14,1,Wednesday
Qualification round 2,Q1,Qualifying,completed,Henrique Rocha,Marco Trungelliti,PT,AR,,18,,False,5–7 6–4 3–6,Marco Trungelliti,1.0,2.0,14.0,17.0,3.0,0.0,False,False,False,2026-01-14,1,Wednesday
Qualification round 2,Q1,Qualifying,completed,Martin Landaluce,Stefano Travaglia,ES,IT,,,,False,6–4 1–6 4–6,Stefano Travaglia,1.0,2.0,11.0,16.0,3.0,0.0,False,True,False,2026-01-14,1,Wednesday
Qualification round 2,Q1,Qualifying,completed,Federico Cina,Adolfo Daniel Vallejo,IT,PY,,30,,False,6–4 2–6 3–6,Adolfo Daniel Vallejo,1.0,2.0,11.0,16.0,3.0,0.0,False,True,False,2026-01-14,1,Wednesday
Qualification round 2,Q1,Qualifying,completed,Pablo Llamas Ruiz,Coleman Wong,ES,HK,,,,False,6–7 0–6,Coleman Wong,0.0,2.0,6.0,13.0,2.0,1.0,True,False,False,2026-01-14,1,Wednesday
Qualification round 2,Q1,Qualifying,completed,Yoshihito Nishioka,George Loffhagen,JP,GB,8,,,False,3–6 1–3,George Loffhagen,0.0,2.0,4.0,9.0,2.0,0.0,True,False,False,2026-01-13,1,Tuesday
Qualification round 2,Q1,Qualifying,completed,Gonzalo Bueno,Pierre-Hugues Herbert,PE,FR,,,,False,5–7 2–6,Pierre-Hugues Herbert,0.0,2.0,7.0,13.0,2.0,0.0,True,False,False,2026-01-14,1,Wednesday
Qualification round 2,Q1,Qualifying,completed,Daniel Merida,Lukas Klein,ES,SK,,28,,False,3–6 7–6 4–6,Lukas Klein,1.0,2.0,14.0,18.0,3.0,0.0,False,False,False,2026-01-14,1,Wednesday
Qualification round 2,Q1,Qualifying,completed,Dusan Lajovic,Murphy Cassone,RS,US,13,,,False,7–5 6–3,Dusan Lajovic,2.0,0.0,13.0,8.0,2.0,0.0,True,False,False,2026-01-14,1,Wednesday
Qualification round 2,Q1,Qualifying,completed,Daniil Glinka,Luca van Assche,EE,FR,,,,False,3–6 0–6,Luca van Assche,0.0,2.0,3.0,12.0,2.0,0.0,True,False,False,2026-01-14,1,Wednesday
Qualification round 2,Q1,Qualifying,completed,Leandro Riedi,Kimmer Coppejans,CH,BE,,,,False,6–3 3–6 4–6,Kimmer Coppejans,1.0,2.0,13.0,15.0,3.0,0.0,False,True,False,2026-01-14,1,Wednesday
Qualification round 2,Q1,Qualifying,completed,Roberto Carballes Baena,Gilles Arnaud Bailly,ES,BE,16,,,False,6–7 7–6 2–6,Gilles Arnaud Bailly,1.0,2.0,15.0,19.0,3.0,1.0,False,False,False,2026-01-13,1,Tuesday
Qualification round 2,Q1,Qualifying,completed,Brandon Holt,Giulio Zeppieri,US,IT,5,,,False,7–6 5–7 4–6,Giulio Zeppieri,1.0,2.0,16.0,19.0,3.0,0.0,False,True,False,2026-01-13,1,Tuesday
